site_no,station_nm,site_type,lat,lon
05364422,"COMO CREEK TRIBUTARY NEAR BLOOMER, WI",ST,45.1104333,-91.5382467
05364850,"DUNCAN CREEK TRIBUTARY NEAR TILDEN, WI",ST,44.9888497,-91.447937
053674464,"YELLOW RIVER AT BARRON, WI",ST,45.39523615,-91.8301731
053674962,"TROUT CREEK AT CNTY TRUNK HIGHWAY DD NR BLOOMER,WI",ST,45.12713889,-91.6044444
053674967,"TROUT CREEK AT TENTH STREET NEAR BLOOMER, WI",ST,45.0994444,-91.6511111
05369500,"CHIPPEWA RIVER AT DURAND, WI",ST,44.631,-91.9713333
05369900,"EAU GALLE RIVER NEAR WOODVILLE, WI",ST,44.9049651,-92.2643532
05369945,"EAU GALLE R @ LOW-WTR BRIDGE @ SPRING VALLEY, WI",ST,44.8671875,-92.2521299
05370000,"EAU GALLE RIVER AT SPRING VALLEY, WI",ST,44.85277778,-92.2383333
05378183,"JOOS VALLEY CREEK NEAR FOUNTAIN CITY, WI",ST,44.2146857,-91.6651532
05378185,"EAGLE CREEK AT CT HIGHWAY G NEAR FOUNTAIN CITY, WI",ST,44.20940798,-91.6784864
05379288,"BRUCE VALLEY CREEK NEAR PLEASANTVILLE, WI",ST,44.44579646,-91.3612694
05379305,"ELK CREEK NEAR INDEPENDENCE, WI",ST,44.3905399,-91.4293168
053793305,"TRAVERSE VALLEY CREEK N. TRIB. NR INDEPENDENCE, WI",ST,44.39857598,-91.5515444
053793306,"TRAVERSE VALLEY CREEK S. TRIB. NR INDEPENDENCE, WI",ST,44.39552038,-91.5537666
05381381,"PIGEON CR BELOW PIGEON CR FLOWAGE NR MILLSTON, WI",ST,44.21107316,-90.6151347
05381389,"CLEAR CREEK SITE C-2 AT 14TH AVE NEAR MILLSTON, WI",ST,44.15635176,-90.7126365
05381392,"STONY CREEK SITE S-2 AT CTH O NEAR SHAMROCK, WI",ST,44.18051789,-90.786805
05382255,"STILLWELL CREEK AT SIXTEENTH COURT NEAR TOMAH, WI",ST,43.99388889,-90.6572222
05382257,"STILLWELL CREEK AT YARD ROAD NEAR TOMAH, WI",ST,44.00055556,-90.6811111
05382267,"LA CROSSE RIVER @ CNTY TRUNK HIGHWY BB NR TOMAH,WI",ST,44.00027778,-90.7244444
05382284,"SILVER CREEK AT STATE HIGHWAY 21 NEAR ANGELO, WI",ST,43.9672222,-90.765
05394500,"PRAIRIE RIVER NEAR MERRILL, WI",ST,45.2358333,-89.6497222
05400600,"LITTLE PLOVER RIVER NEAR ARNOTT, WI",ST,44.46805439,-89.4889715
05400853,"BUENA VISTA CREEK NEAR KELLNER, WI",ST,44.3738751,-89.6978676
05401020,"TENMILE CREEK DITCH 5 NEAR BANCROFT, WI",ST,44.30222155,-89.5498067
05403700,"DELL CREEK NEAR LAKE DELTON, WI",ST,43.55220306,-89.867625
05406457,"BLACK EARTH CREEK NR BREWERY RD AT CROSS PLAINS,WI",ST,43.1097222,-89.6408333
05406460,"BLACK EARTH CREEK AT CROSS PLAINS, WI",ST,43.11054978,-89.6456776
