waterbody,usgs_site_no,date,gage_height_ft,qualifiers
Lake Winnebago,04082500,2023-07-16,2.94,A
Lake Winnebago,04082500,2023-07-17,2.93,A
Lake Winnebago,04082500,2023-07-18,2.92,A
Lake Winnebago,04082500,2023-07-19,2.91,A
Lake Winnebago,04082500,2023-07-20,2.89,A
Lake Winnebago,04082500,2023-07-21,2.91,A
Lake Winnebago,04082500,2023-07-22,2.91,A
Lake Winnebago,04082500,2023-07-23,2.92,A
Lake Winnebago,04082500,2023-07-24,2.92,A
Lake Winnebago,04082500,2023-07-25,2.91,A
Lake Winnebago,04082500,2023-07-26,2.93,A
Lake Winnebago,04082500,2023-07-27,2.94,A
Lake Winnebago,04082500,2023-07-28,3.02,A
Lake Winnebago,04082500,2023-07-29,3.03,A
Lake Winnebago,04082500,2023-07-30,3.02,A
Lake Winnebago,04082500,2023-07-31,3.02,A
Lake Winnebago,04082500,2023-08-01,3.01,A
Lake Winnebago,04082500,2023-08-02,2.99,A
Lake Winnebago,04082500,2023-08-03,3.01,A
Lake Winnebago,04082500,2023-08-04,3.06,A
Lake Winnebago,04082500,2023-08-05,3.05,A
Lake Winnebago,04082500,2023-08-06,3.03,A
Lake Winnebago,04082500,2023-08-07,3.01,A
Lake Winnebago,04082500,2023-08-08,3.00,A
Lake Winnebago,04082500,2023-08-09,3.01,A
Lake Winnebago,04082500,2023-08-10,3.03,A
Lake Winnebago,04082500,2023-08-11,3.01,A
Lake Winnebago,04082500,2023-08-12,3.03,A
Lake Winnebago,04082500,2023-08-13,3.03,A
Lake Winnebago,04082500,2023-08-14,3.08,A
Lake Winnebago,04082500,2023-08-15,3.08,A
Lake Winnebago,04082500,2023-08-16,3.04,A
Lake Winnebago,04082500,2023-08-17,3.04,A
Lake Winnebago,04082500,2023-08-18,3.07,A
Lake Winnebago,04082500,2023-08-19,3.04,A
Lake Winnebago,04082500,2023-08-20,3.06,A
Lake Winnebago,04082500,2023-08-21,3.06,A
Lake Winnebago,04082500,2023-08-22,3.04,A
Lake Winnebago,04082500,2023-08-23,3.03,A
Lake Winnebago,04082500,2023-08-24,3.04,A
Lake Winnebago,04082500,2023-08-25,3.04,A
Lake Winnebago,04082500,2023-08-26,3.08,A
Lake Winnebago,04082500,2023-08-27,3.03,A
Lake Winnebago,04082500,2023-08-28,3.00,A
Lake Winnebago,04082500,2023-08-29,3.01,A
Lake Winnebago,04082500,2023-08-30,2.99,A
Lake Winnebago,04082500,2023-08-31,2.96,A
Lake Winnebago,04082500,2023-09-01,2.93,A
Lake Winnebago,04082500,2023-09-02,2.93,A
Lake Winnebago,04082500,2023-09-03,2.93,A
Lake Winnebago,04082500,2023-09-04,2.92,A
Lake Winnebago,04082500,2023-09-05,2.91,A
Lake Winnebago,04082500,2023-09-06,2.91,A
Lake Winnebago,04082500,2023-09-07,2.92,A
Lake Winnebago,04082500,2023-09-08,2.90,A
Lake Winnebago,04082500,2023-09-09,2.88,A
Lake Winnebago,04082500,2023-09-10,2.88,A
Lake Winnebago,04082500,2023-09-11,2.88,A
Lake Winnebago,04082500,2023-09-12,2.89,A
Lake Winnebago,04082500,2023-09-13,2.90,A
Lake Winnebago,04082500,2023-09-14,2.88,A
