source_url,source_file,retrieval_date,waterbody,location,year,angler_hours,angler_hours_sd
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Milwaukee Co.,2022,194492,12092
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Milwaukee Co.,2023,182456,16513
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Milwaukee Co.,2024,219635,9738
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Total (all locations incl. Green Bay),2015,2742595,49548
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Total (all locations incl. Green Bay),2016,2631149,47145
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Total (all locations incl. Green Bay),2017,2549887,49597
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Total (all locations incl. Green Bay),2018,2456877,45624
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Total (all locations incl. Green Bay),2019,2362083,48065
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Total (all locations incl. Green Bay),2020,1964085,40880
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Total (all locations incl. Green Bay),2021,2734359,51171
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Total (all locations incl. Green Bay),2022,2489286,52586
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Total (all locations incl. Green Bay),2023,2485275,52457
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Total (all locations incl. Green Bay),2024,2281228,53287
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Total (all locations incl. Green Bay),2013,2779977,54178
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Total (all locations incl. Green Bay),2014,2613170,53991
